Date,Event,Category,Description,Expected_Impact
2011-02-17,Libyan Civil War Begins,Conflict,Start of Libyan Civil War leading to significant disruption in oil production (Libya produces ~1.6M barrels/day),Positive (price increase due to supply shock)
2014-06-01,ISIS Captures Iraqi Oil Fields,Conflict,Islamic State captures key oil infrastructure in northern Iraq creating supply uncertainty,Positive (price increase due to security concerns)
2014-11-27,OPEC Maintains Production,OPEC Policy,OPEC decides not to cut production despite falling prices to maintain market share against US shale,Negative (price decrease due to oversupply)
2016-06-23,Brexit Referendum,Political,UK votes to leave European Union causing global economic uncertainty and demand concerns,Negative (price decrease due to demand uncertainty)
2016-11-30,OPEC Production Cut Agreement,OPEC Policy,OPEC agrees to first production cut since 2008 (1.2M barrels/day) to support prices,Positive (price increase due to supply reduction)
2018-05-08,US Withdraws from Iran Nuclear Deal,Sanctions,US reimmposes sanctions on Iranian oil exports removing ~2M barrels/day from market,Positive (price increase due to supply reduction)
2018-11-01,US Grants Iran Sanctions Waivers,Sanctions,US grants temporary waivers to 8 countries to continue importing Iranian oil reducing supply impact,Negative (price decrease due to continued supply)
2019-05-02,US Ends Iran Sanctions Waivers,Sanctions,US ends all waivers for Iranian oil importers aiming to bring Iran's exports to zero,Positive (price support due to supply tightness)
2020-03-06,Saudi-Russia Oil Price War,OPEC Policy,Saudi Arabia and Russia fail to agree on production cuts; Saudi increases production and offers discounts,Negative (severe price crash)
2020-03-11,COVID-19 Pandemic Declaration,Economic Shock,WHO declares COVID-19 pandemic; global lockdowns devastate oil demand,Negative (historic demand destruction)
2020-04-12,OPEC+ Historic Production Cut,OPEC Policy,OPEC+ agrees to record 9.7M barrel/day production cut to stabilize collapsing prices,Positive (price recovery support)
2021-02-01,Texas Winter Storm,Supply Shock,Severe winter storm disrupts US oil production and refining capacity,Positive (temporary price spike)
2022-02-24,Russia Invades Ukraine,Conflict,Russia's invasion of Ukraine triggers extensive Western sanctions on Russian oil exports,Positive (significant price spike due to supply fears)
2022-03-31,IEA Emergency Oil Release,Policy,IEA announces largest-ever strategic reserve release (180M barrels) to cool prices,Negative (price pressure from supply increase)
2022-10-05,OPEC+ Production Cut (2M bpd),OPEC Policy,OPEC+ announces 2M barrel/day production cut despite Western pressure to increase supply,Positive (price support)
